[2014.11.12 10:30:24] [0000m.00s.680ms] [2] Diagnostic: CesConfigCheck: CesP2PClearRule
[2014.11.12 10:30:24] [0000m.00s.680ms] [2] Diagnostic: CesConfigCheck: CesParRuleSection
[2014.11.12 10:30:24] [0000m.00s.680ms] [2] Diagnostic: CesConfigCheck: CesParRuleDef
[2014.11.12 10:30:24] [0000m.00s.680ms] [2] Diagnostic: CesConfigCheck: CesNoiseRule
[2014.11.12 10:30:24] [0000m.00s.680ms] [2] Diagnostic: CesConfigCheck: CesGenObj
[2014.11.12 10:30:24] [0000m.00s.680ms] [2] Diagnostic: CesConfigCheck: CesGenCompObj
[2014.11.12 10:30:24] [0000m.00s.680ms] [2] Diagnostic: CesConfigCheck: CesGenObjType
[2014.11.12 10:30:24] [0000m.00s.680ms] [2] Diagnostic: CesConfigCheck: CesVia
[2014.11.12 10:30:24] [0000m.00s.680ms] [2] Diagnostic: CesConfigCheck: CesZAxisLayerRule
[2014.11.12 10:30:24] [0000m.00s.680ms] [2] Diagnostic: CesConfigCheck: CesZAxisClearRule
[2014.11.12 10:30:24] [0000m.00s.680ms] [2] Diagnostic: ConfigCheck: CDBImplComp
[2014.11.12 10:30:24] [0000m.00s.680ms] [2] Diagnostic: ConfigCheck: CDBImplNet
[2014.11.12 10:30:24] [0000m.00s.680ms] [2] Diagnostic: ConfigCheck: CDBImplPin
[2014.11.12 10:30:24] [0000m.00s.680ms] [2] Diagnostic: Block: Block
[2014.11.12 10:30:24] [0000m.00s.680ms] [2] Diagnostic: BlockCheck: CDBImplNet
[2014.11.12 10:30:24] [0000m.00s.680ms] [2] Diagnostic: BlockCheck: CDBImplBus
[2014.11.12 10:30:24] [0000m.00s.680ms] [2] Diagnostic: BlockCheck: CDBImplPin
[2014.11.12 10:30:24] [0000m.00s.680ms] [2] Diagnostic: BlockCheck: CDBImplPort
[2014.11.12 10:30:24] [0000m.00s.680ms] [2] Diagnostic: BlockCheck: CDBImplComp
[2014.11.12 10:30:24] [0000m.00s.680ms] [2] Diagnostic: BlockCheck: AttributesUtility
[2014.11.12 10:30:24] [0000m.00s.680ms] [2] Diagnostic: BlockCheck: CDBImplBlockViewDxD
[2014.11.12 10:30:24] [0000m.00s.680ms] [2] Diagnostic: BlockViewDxDCheck: CDBImplNetDxD
[2014.11.12 10:30:24] [0000m.00s.680ms] [2] Diagnostic: BlockViewDxDCheck: CDBImplRipperDxD
[2014.11.12 10:30:24] [0000m.00s.680ms] [2] Diagnostic: CesConfigCheck: CesConstraint
[2014.11.12 10:30:24] [0000m.00s.680ms] [2] Diagnostic: CesConfigCheck: CesPin
[2014.11.12 10:30:24] [0000m.00s.680ms] [2] Diagnostic: CesConfigCheck: CesFromTo
