"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C138","SMD_1210_CAPC3225X270N","2582.677mil","8078.74mil","2582.677mil","8078.74mil","2582.677mil","8137.795mil","T","270.00","100uF"
"C139","SMD_1210_CAPC3225X270N","2358.268mil","8240.157mil","2358.268mil","8240.157mil","2417.323mil","8240.157mil","T","180.00","100uF"
"C14","SMD_0805_CAPC2012X145N","5090.551mil","5759.842mil","5090.551mil","5759.842mil","5125.984mil","5759.842mil","T","180.00","22uF"
"C140","SMD_1210_CAPC3225X279N","2629.921mil","6696.85mil","2629.921mil","6696.85mil","2629.921mil","6637.795mil","T","90.00","220uF"
"C141","SMD_1210_CAPC3225X279N","2500mil","6696.85mil","2500mil","6696.85mil","2500mil","6637.795mil","T","90.00","220uF"
"C142","SMD_1210_CAPC3225X279N","2370.079mil","6696.85mil","2370.079mil","6696.85mil","2370.079mil","6637.795mil","T","90.00","220uF"
"C143","SMD_1210_CAPC3225X270N","440.945mil","8078.74mil","440.945mil","8078.74mil","440.945mil","8137.795mil","T","270.00","100uF"
"C144","SMD_1210_CAPC3225X270N","216.535mil","8240.157mil","216.535mil","8240.157mil","275.591mil","8240.157mil","T","180.00","100uF"
"C145","SMD_1210_CAPC3225X279N","488.189mil","6696.85mil","488.189mil","6696.85mil","488.189mil","6637.795mil","T","90.00","220uF"
"C146","SMD_1210_CAPC3225X279N","358.268mil","6696.85mil","358.268mil","6696.85mil","358.268mil","6637.795mil","T","90.00","220uF"
"C147","SMD_1210_CAPC3225X279N","228.346mil","6696.85mil","228.346mil","6696.85mil","228.346mil","6637.795mil","T","90.00","220uF"
"C148","SMD_0603_CAPC1608X95N","196.85mil","4661.417mil","196.85mil","4661.417mil","228.346mil","4661.417mil","T","180.00","470nF"
"C149","SMD_0603_CAPC1608X95N","196.85mil","5448.819mil","196.85mil","5448.819mil","228.346mil","5448.819mil","T","180.00","470nF"
"C15","SMD_0603_CAPC1608X95N","5082.677mil","6055.118mil","5082.677mil","6055.118mil","5051.181mil","6055.118mil","T","0.00","10uF"
"C150","SMD_0603_CAPC1608X95N","1661.417mil","6700.787mil","1661.417mil","6700.787mil","1661.417mil","6669.291mil","T","90.00","470nF"
"C151","SMD_0603_CAPC1608X95N","196.85mil","5055.118mil","196.85mil","5055.118mil","228.346mil","5055.118mil","T","180.00","470nF"
"C152","SMD_0603_CAPC1608X95N","196.85mil","4858.268mil","196.85mil","4858.268mil","228.346mil","4858.268mil","T","180.00","470nF"
"C153","SMD_0603_CAPC1608X95N","196.85mil","5251.968mil","196.85mil","5251.968mil","228.346mil","5251.968mil","T","180.00","470nF"
"C154","SMD_0603_CAPC1608X95N","196.85mil","5645.669mil","196.85mil","5645.669mil","228.346mil","5645.669mil","T","180.00","470nF"
"C155","SMD_0603_CAPC1608X95N","196.85mil","5842.52mil","196.85mil","5842.52mil","228.346mil","5842.52mil","T","180.00","470nF"
"C156","SMD_1210_CAPC3225X279N","618.11mil","6696.85mil","618.11mil","6696.85mil","618.11mil","6637.795mil","T","90.00","220uF"
"C157","SMD_1210_CAPC3225X279N","196.85mil","6137.795mil","196.85mil","6137.795mil","255.905mil","6137.795mil","T","180.00","220uF"
"C158","SMD_1210_CAPC3225X279N","196.85mil","5547.244mil","196.85mil","5547.244mil","255.905mil","5547.244mil","T","180.00","220uF"
"C159","SMD_1210_CAPC3225X279N","196.85mil","5940.945mil","196.85mil","5940.945mil","255.905mil","5940.945mil","T","180.00","220uF"
"C16","SMD_0805_CAPC2012X145N","4736.221mil","5751.968mil","4736.221mil","5751.968mil","4700.787mil","5751.968mil","T","0.00","22uF"
"C160","SMD_1210_CAPC3225X279N","196.85mil","5744.095mil","196.85mil","5744.095mil","255.905mil","5744.095mil","T","180.00","220uF"
"C161","SMD_1210_CAPC3225X279N","196.85mil","5350.394mil","196.85mil","5350.394mil","255.905mil","5350.394mil","T","180.00","220uF"
"C162","SMD_1210_CAPC3225X279N","196.85mil","5153.543mil","196.85mil","5153.543mil","255.905mil","5153.543mil","T","180.00","220uF"
"C163","SMD_1210_CAPC3225X279N","196.85mil","4956.693mil","196.85mil","4956.693mil","255.905mil","4956.693mil","T","180.00","220uF"
