Designator Footprint               Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment        

J5         PTH_DC-POWER-JACK_210-112   3570.866mil   2622.047mil   3570.866mil   2523.622mil   3452.756mil   2523.622mil  T        180.00 CON_POWER_JACK_3PIN
J4         PTH_HDRV40W6240P254_2X02_M   3476.378mil   1669.291mil   3476.378mil   1669.291mil   3426.378mil   1719.291mil  T        270.00 CON_2ROWS_4PINS-2
J3         PTH_CON_HD-351-3P    204.724mil   3311.024mil    204.724mil   3311.024mil    204.724mil   3173.228mil  T         90.00 HD-351-3P      
J24        PTH_MTG400_700    3740.157mil   3740.157mil   3740.157mil   3740.157mil   3740.157mil   3740.157mil  T          0.00 PTH_MTG400_700 
J23        PTH_MTG400_700      196.85mil   3740.157mil     196.85mil   3740.157mil     196.85mil   3740.157mil  T          0.00 PTH_MTG400_700 
J22        PTH_MTG400_700    3740.157mil     196.85mil   3740.157mil     196.85mil   3740.157mil     196.85mil  T          0.00 PTH_MTG400_700 
J2         SMD_CON-CVILUX-CU04-SCM15B0   3771.653mil   1669.291mil    3763.78mil   1669.291mil   3661.417mil   1606.299mil  T         90.00 CON_USB_MINI_1 
J15        PTH_MTG400_700      196.85mil   2165.354mil     196.85mil   2165.354mil     196.85mil   2165.354mil  T          0.00 PTH_MTG400_700 
J14        PTH_MTG400_700    2165.354mil   2165.354mil   2165.354mil   2165.354mil   2165.354mil   2165.354mil  T          0.00 PTH_MTG400_700 
J13        PTH_MTG400_700    2165.354mil     196.85mil   2165.354mil     196.85mil   2165.354mil     196.85mil  T          0.00 PTH_MTG400_700 
J12        PTH_CON_WR-MRC4-6P_S   3531.496mil   3082.677mil   3531.496mil   3082.677mil   3639.764mil   3248.032mil  T        270.00 CON_2ROWS_6PINS_1
FID2       FID100X200        3818.898mil   3523.622mil   3818.898mil   3523.622mil   3818.898mil   3523.622mil  T          0.00 FIDUCIAL 100X200
FID1       FID100X200         366.142mil     94.488mil    366.142mil     94.488mil    366.142mil     94.488mil  T          0.00 FIDUCIAL 100X200
D8         SMD_DO214AC_SMA   3311.024mil   2468.504mil   3311.024mil   2468.504mil   3311.024mil   2389.764mil  T         90.00 SS14           
D6         SMD_SOT457_SOT95P275X110-6N   3267.716mil   1625.984mil   3267.716mil   1625.984mil   3305.118mil    1671.26mil  T        270.00 SMS05T1G       
D4         SMD_0805_LED2012X100N   2988.189mil   1244.094mil   2988.189mil   1244.094mil    2946.85mil   1244.094mil  T          0.00 LED ORANGE     
D3         SMD_0805_LED2012X100N   2988.189mil   1322.835mil   2988.189mil   1322.835mil    2946.85mil   1322.835mil  T          0.00 LED YELLOW     
D28        SMD_DO214AC_SMC   3377.839mil   3658.134mil   3377.839mil   3658.134mil   3511.698mil   3658.134mil  T        180.00 D_TVS_UNI      
D2         SMD_0805_LED2012X100N   2988.189mil   1165.354mil   2988.189mil   1165.354mil    2946.85mil   1165.354mil  T          0.00 LED GREEN      
D1         SMD_0805_LED2012X100N   2988.189mil   1086.614mil   2988.189mil   1086.614mil    2946.85mil   1086.614mil  T          0.00 LED RED        
C99        SMD_1210_CAPC3225X270N   2909.449mil    3803.15mil   2909.449mil    3803.15mil   2909.449mil   3862.205mil  T        270.00 100uF          
C96        SMD_1210_CAPC3225X270N    1618.11mil   3440.945mil    1618.11mil   3440.945mil   1677.165mil   3440.945mil  T        180.00 100uF          
