"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C63","SMD_0805_CAPC2012X145N","196.85mil","1929.134mil","196.85mil","1929.134mil","232.284mil","1929.134mil","T","180.00","22uF"
"C62","SMD_0805_CAPC2012X145N","196.85mil","1850.394mil","196.85mil","1850.394mil","232.284mil","1850.394mil","T","180.00","22uF"
"C606","SMD_0805_CAPC2012X145N","539.37mil","3795.276mil","539.37mil","3795.276mil","574.803mil","3795.276mil","T","180.00","10uF"
"C603","SMD_0805_CAPC2012X145N","539.37mil","3637.795mil","539.37mil","3637.795mil","574.803mil","3637.795mil","T","180.00","10uF"
"C600","SMD_0805_CAPC2012X145N","2003.937mil","3795.276mil","2003.937mil","3795.276mil","2039.37mil","3795.276mil","T","180.00","10uF"
"C6","SMD_0402_CAPC1005X55N","3635.827mil","537.402mil","3635.827mil","537.402mil","3635.827mil","519.685mil","T","90.00","100nF"
"C598","SMD_0805_CAPC2012X145N","2003.937mil","3637.795mil","2003.937mil","3637.795mil","2039.37mil","3637.795mil","T","180.00","10uF"
"C58","SMD_0603_CAPC1608X95N","3087.065mil","3096.05mil","3087.065mil","3096.05mil","3055.569mil","3096.05mil","T","0.00","100nF"
"C54","SMD_0603_CAPC1608X95N","3087.065mil","3202.35mil","3087.065mil","3202.35mil","3118.561mil","3202.35mil","T","180.00","10uF"
"C52","SMD_0805_CAPC2012X145N","2350.394mil","3480.315mil","2350.394mil","3480.315mil","2314.961mil","3480.315mil","T","0.00","10uF"
"C51","SMD_0805_CAPC2012X145N","2350.394mil","3637.795mil","2350.394mil","3637.795mil","2314.961mil","3637.795mil","T","0.00","10uF"
"C50","SMD_0805_CAPC2012X145N","2350.394mil","3559.055mil","2350.394mil","3559.055mil","2314.961mil","3559.055mil","T","0.00","10uF"
"C5","SMD_0402_CAPC1005X55N","3271.653mil","342.52mil","3271.653mil","342.52mil","3271.653mil","360.236mil","T","270.00","100nF"
"C49","SMD_0805_CAPC2012X145N","2216.535mil","3803.15mil","2216.535mil","3803.15mil","2216.535mil","3767.716mil","T","90.00","10uF"
"C40","SMD_0805_CAPC2012X145N","1850.394mil","2169.291mil","1850.394mil","2169.291mil","1850.394mil","2204.724mil","T","270.00","22uF"
"C4","SMD_0402_CAPC1005X55N","3401.575mil","992.126mil","3401.575mil","992.126mil","3383.858mil","992.126mil","T","0.00","100nF"
"C39","SMD_0805_CAPC2012X145N","1929.134mil","2169.291mil","1929.134mil","2169.291mil","1929.134mil","2204.724mil","T","270.00","22uF"
"C380","SMD_0805_CAPC2012X145N","885.827mil","3716.535mil","885.827mil","3716.535mil","850.394mil","3716.535mil","T","0.00","10uF"
"C38","SMD_0805_CAPC2012X145N","2559.047mil","2169.202mil","2559.047mil","2169.202mil","2559.047mil","2204.635mil","T","270.00","22uF"
"C379","SMD_0805_CAPC2012X145N","885.827mil","3795.276mil","885.827mil","3795.276mil","850.394mil","3795.276mil","T","0.00","10uF"
"C378","SMD_0805_CAPC2012X145N","673.228mil","3803.15mil","673.228mil","3803.15mil","673.228mil","3767.716mil","T","90.00","10uF"
"C37","SMD_0805_CAPC2012X145N","2637.787mil","2169.202mil","2637.787mil","2169.202mil","2637.787mil","2204.635mil","T","270.00","22uF"
"C36","SMD_0805_CAPC2012X145N","196.85mil","1771.653mil","196.85mil","1771.653mil","232.284mil","1771.653mil","T","180.00","22uF"
"C347","SMD_0603_CAPC1608X95N","2905.512mil","1460.63mil","2905.512mil","1460.63mil","2874.016mil","1460.63mil","T","0.00","1uF"
"C334","SMD_0805_CAPC2012X145N","590.551mil","2169.291mil","590.551mil","2169.291mil","590.551mil","2204.724mil","T","270.00","22uF"
"C333","SMD_0805_CAPC2012X145N","669.291mil","2169.291mil","669.291mil","2169.291mil","669.291mil","2204.724mil","T","270.00","22uF"
"C332","SMD_0805_CAPC2012X145N","905.512mil","2169.291mil","905.512mil","2169.291mil","905.512mil","2204.724mil","T","270.00","22uF"
"C331","SMD_0805_CAPC2012X145N","984.252mil","2169.291mil","984.252mil","2169.291mil","984.252mil","2204.724mil","T","270.00","22uF"
"C30","SMD_0603_CAPC1608X95N","2358.268mil","3299.213mil","2358.268mil","3299.213mil","2358.268mil","3267.716mil","T","90.00","220nF"
"C3","SMD_0603_CAPC1608X95N","3608.268mil","399.606mil","3608.268mil","399.606mil","3608.268mil","431.102mil","T","270.00","1nF"
"C275","SMD_0805_CAPC2012X145N","2362.331mil","2946.252mil","2362.331mil","2946.252mil","2397.764mil","2946.252mil","T","180.00","22uF"
"C274","SMD_0805_CAPC2012X145N","2362.331mil","2867.511mil","2362.331mil","2867.511mil","2397.764mil","2867.511mil","T","180.00","22uF"
"C272","SMD_0805_CAPC2012X145N","2362.331mil","2788.771mil","2362.331mil","2788.771mil","2397.764mil","2788.771mil","T","180.00","22uF"
"C271","SMD_0805_CAPC2012X145N","2362.331mil","2710.031mil","2362.331mil","2710.031mil","2397.764mil","2710.031mil","T","180.00","22uF"
"C269","SMD_0805_CAPC2012X145N","2362.331mil","2631.291mil","2362.331mil","2631.291mil","2397.764mil","2631.291mil","T","180.00","22uF"
"C268","SMD_0805_CAPC2012X145N","897.764mil","2946.252mil","897.764mil","2946.252mil","933.197mil","2946.252mil","T","180.00","22uF"
"C266","SMD_0805_CAPC2012X145N","2362.331mil","2552.551mil","2362.331mil","2552.551mil","2397.764mil","2552.551mil","T","180.00","22uF"
"C265","SMD_0805_CAPC2012X145N","3082.677mil","2208.661mil","3082.677mil","2208.661mil","3047.244mil","2208.661mil","T","0.00","22uF"
"C264","SMD_0805_CAPC2012X145N","3082.677mil","2287.402mil","3082.677mil","2287.402mil","3047.244mil","2287.402mil","T","0.00","22uF"
"C263","SMD_0805_CAPC2012X145N","897.764mil","2867.511mil","897.764mil","2867.511mil","933.197mil","2867.511mil","T","180.00","22uF"
"C26","SMD_0603_CAPC1608X95N","2354.782mil","3096.05mil","2354.782mil","3096.05mil","2323.286mil","3096.05mil","T","0.00","100nF"
"C257","SMD_0603_CAPC1608X95N","3090.551mil","3299.213mil","3090.551mil","3299.213mil","3090.551mil","3267.716mil","T","90.00","220nF"
